ETH Address, Tier, Wave, Is Promoted, Is CoolOff
0x007c...f7bc,1,1,false,false
0x0324...5df3,2,1,false,false
0x0367...6e84,1,1,false,false
0x039e...37d9,1,1,false,false
0x04a7...5e6d,1,1,false,false
0x04e3...2bda,2,1,false,false
0x04f8...bb6e,1,1,false,false
0x056a...28e0,2,1,false,false
0x05d0...28e6,2,1,false,false
0x0862...de9c,2,1,false,false
0x0901...2aeb,2,1,false,false
0x09c1...7f71,2,1,false,false
0x09ff...bbf6,2,1,false,false
0x0a16...68d5,2,1,false,false
0x0ae2...df34,2,1,false,false
0x0b20...2bb6,2,1,false,false
0x0b88...6e8e,2,1,false,false
0x0b91...d15c,2,1,false,false
0x0c09...a31d,1,1,false,false
0x0c21...4fa5,2,1,false,false
0x0c7b...9b00,1,1,false,false
0x0c9f...a8e6,2,1,false,false
0x0ea7...8db3,2,1,false,false
0x0ee4...ad4f,2,1,false,false
0x0f22...1319,2,1,false,false
0x1151...315a,2,1,false,false
0x128b...45e5,2,1,false,false
0x129a...49d7,2,1,false,false
0x134a...3ad8,2,1,false,false
0x138f...e1b3,2,1,false,false
0x1552...eb2c,1,1,false,false
0x1595...8833,2,1,false,false
0x16b5...a684,2,1,false,false
0x178c...228c,2,1,false,false
0x185e...d2f0,1,1,false,false
0x1899...bd88,2,1,false,false
0x189f...e2c2,1,1,false,false
0x197e...9c07,2,1,false,false
0x1a34...da29,2,1,false,false
0x1a7f...03df,1,1,false,false
0x1aa0...cabe,1,1,false,false
0x1b95...4358,2,1,false,false
0x1c78...fbbc,2,1,false,false
0x1cc1...dff9,2,1,false,false
0x1dab...beaf,3,1,true,false
0x1e81...8e26,2,1,false,false
0x2020...5ebf,2,1,false,false
0x206d...d805,1,1,false,false
0x20ca...69d1,2,1,false,false
0x21ec...4b85,2,1,false,false
0x222b...fde4,2,1,false,false
0x22a1...bfee,2,1,false,false
0x231b...db21,2,1,false,false
0x2411...6210,2,1,false,false
0x248b...c1c5,2,1,false,false
0x253e...e5a1,2,1,false,false
0x2540...93ee,2,1,false,false
0x25fb...7070,2,1,false,false
0x263f...6cbb,1,1,false,false
0x2693...61d3,1,1,false,false
0x278d...589b,1,1,false,false
0x2842...58f2,2,1,false,false
0x28ea...daef,2,1,false,false
0x2946...debe,2,1,false,false
0x2954...36c9,2,1,false,false
0x2992...3513,1,1,false,false
0x2a51...92bb,2,1,false,false
0x2a8b...be2f,2,1,false,false
0x2a9b...b53b,2,1,false,false
0x2b17...3403,2,1,false,false
0x2be5...96ef,1,1,false,false
0x2cbc...a951,1,1,false,false
0x2ea0...6c21,2,1,false,false
0x2ea8...0297,2,1,false,false
0x2eec...5ba6,2,1,false,false
0x2f18...754f,2,1,false,false
0x2fb5...8385,2,1,false,false
0x2fc9...0e36,2,1,false,false
0x308f...d709,2,1,false,false
0x3287...7408,2,1,false,false
0x32eb...7245,1,1,false,false
0x335f...2953,2,1,false,false
0x33ef...4435,2,1,false,false
0x33f6...833f,1,1,false,false
0x34bb...9cdc,2,1,false,false
0x3537...e0de,2,1,false,false
0x3557...42cf,2,1,false,false
0x35e0...646b,1,1,false,false
0x36b9...2ec2,2,1,false,false
0x3710...e1ee,2,1,false,false
0x3743...fc74,2,1,false,false
0x390a...9c26,2,1,false,false
0x39a9...586a,3,1,true,false
0x3a4b...1b99,2,1,false,false
0x3a87...b2ab,2,1,false,false
0x3b97...05ef,2,1,false,false
0x3c2b...1074,2,1,false,false
0x3c73...7905,2,1,false,false
0x3c7e...9319,2,1,false,false
0x3d0d...c426,2,1,false,false
0x3eff...fc7e,2,1,false,false
0x3f90...33e8,2,1,false,false
0x40c6...cef9,2,1,false,false
0x40d2...8087,2,1,false,false
0x40fe...1a63,2,1,false,false
0x41c9...4ec2,2,1,false,false
0x421f...5fe1,2,1,false,false
0x423b...a194,2,1,false,false
0x42cb...571a,2,1,false,false
0x43db...e302,2,1,false,false
0x4468...9a57,2,1,false,false
0x446b...e1d0,2,1,false,false
0x4490...5916,2,1,false,false
0x44ed...27cd,2,1,false,false
0x44fe...160d,2,1,false,false
0x460a...f449,2,1,false,false
0x4715...e730,2,1,false,false
0x4738...7af5,2,1,false,false
0x48fa...dff7,2,1,false,false
0x4b62...e603,2,1,false,false
0x4b7e...5609,1,1,false,false
0x4d05...780f,2,1,false,false
0x4d16...31a6,2,1,false,false
0x4d9d...3e36,2,1,false,false
0x4dd5...e932,2,1,false,false
0x4df0...1201,2,1,false,false
0x4e2f...1721,1,1,false,false
0x4e46...2565,2,1,false,false
0x4e8e...a2eb,2,1,false,false
0x4ece...36f9,2,1,false,false
0x4ede...05a4,2,1,false,false
0x4fbe...ed8e,1,1,false,false
0x5076...eeee,2,1,false,false
0x50ab...b943,2,1,false,false
0x50fb...dac3,2,1,false,false
0x52ee...26a5,2,1,false,false
0x5320...84d9,2,1,false,false
0x53ff...e784,2,1,false,false
0x5487...a2d9,2,1,false,false
0x54e0...e12a,1,1,false,false
0x56c0...22ce,2,1,false,false
0x56f1...69fc,2,1,false,false
0x577c...2b77,2,1,false,false
0x5821...fbf7,2,1,false,false
0x5878...6f5c,1,1,false,false
0x589f...353d,2,1,false,false
0x59d0...f3dc,2,1,false,false
0x5a01...0760,2,1,false,false
0x5a32...d97f,2,1,false,false
0x5a54...fd18,2,1,false,false
0x5ab2...fc44,2,1,false,false
0x5bb2...bf9a,2,1,false,false
0x5bbd...8ff9,2,1,false,false
0x5c11...6a7f,2,1,false,false
0x5c24...1d6b,2,1,false,false
0x5c83...7081,2,1,false,false
0x5da9...a606,1,1,false,false
0x5daf...2123,2,1,false,false
0x5e4e...3632,2,1,false,false
0x5e9c...b10c,2,1,false,false
0x5fb8...e0fa,2,1,false,false
0x6036...8223,2,1,false,false
0x60e1...34b0,2,1,false,false
0x6158...3225,2,1,false,false
0x61eb...4828,2,1,false,false
0x6267...d6bb,1,1,false,false
0x6364...9b44,2,1,false,false
0x6367...191f,2,1,false,false
0x63cd...ce73,2,1,false,false
0x6413...f1b5,2,1,false,false
0x642a...f0d5,2,1,false,false
0x64af...38ff,2,1,false,false
0x65a4...cf3d,2,1,false,false
0x65d4...42de,1,1,false,false
0x6637...0820,2,1,false,false
0x6687...1dc1,2,1,false,false
0x6895...e65f,2,1,false,false
0x6980...f2d8,2,1,false,false
0x6b92...1e47,1,1,false,false
0x6bc1...a281,2,1,false,false
0x6e19...e51d,2,1,false,false
0x6f36...60ad,1,1,false,false
0x7026...6653,2,1,false,false
0x7082...4452,2,1,false,false
0x7243...a9b5,2,1,false,false
0x724a...186e,2,1,false,false
0x7286...756f,2,1,false,false
0x72c4...a91a,2,1,false,false
0x7355...4faa,2,1,false,false
0x73a9...31d1,1,1,false,false
0x73db...209a,1,1,false,false
0x73e6...f6d4,2,1,false,false
0x7433...dbfa,2,1,false,false
0x74aa...5f73,1,1,false,false
0x74c6...0785,2,1,false,false
0x751a...4bd2,1,1,false,false
0x75ae...3b7a,1,1,false,false
0x75b1...0aae,1,1,false,false
0x76c4...265d,2,1,false,false
0x77a6...8baf,1,1,false,false
0x77bf...5ce1,2,1,false,false
0x780d...d263,2,1,false,false
0x78af...7021,2,1,false,false
0x799d...f5bc,2,1,false,false
0x7af7...38ca,2,1,false,false
0x7bb7...f889,2,1,false,false
0x7c12...35e1,2,1,false,false
0x7ccd...a50f,2,1,false,false
0x7cfa...1551,2,1,false,false
0x7dde...2676,3,1,true,false
0x7e8c...40c0,2,1,false,false
0x7fe8...5246,2,1,false,false
0x802e...a8c8,2,1,false,false
0x80e1...2b6e,2,1,false,false
0x81c8...8a2d,2,1,false,false
0x82ca...3101,2,1,false,false
0x82cf...41f8,2,1,false,false
0x835a...15bb,2,1,false,false
0x8367...dfd4,5,1,true,false
0x8393...307a,2,1,false,false
0x8399...1475,2,1,false,false
0x83b9...54eb,2,1,false,false
0x84f1...0778,2,1,false,false
0x857d...9a9e,2,1,false,false
0x858e...7db4,1,1,false,false
0x85ca...f982,2,1,false,false
0x8642...9d49,2,1,false,false
0x864c...7766,2,1,false,false
0x8664...0ce7,1,1,false,false
0x86dd...9cde,2,1,false,false
0x873a...fc90,2,1,false,false
0x8883...7d25,2,1,false,false
0x8a58...b6f9,2,1,false,false
0x8a70...7b03,1,1,false,false
0x8abd...2140,2,1,false,false
0x8b60...70a3,2,1,false,false
0x8e98...6675,2,1,false,false
0x8eec...0e16,2,1,false,false
0x8f1c...74cb,2,1,false,false
0x8f39...2870,2,1,false,false
0x8fe0...bd1c,2,1,false,false
0x90b7...fd0b,2,1,false,false
0x90bf...1e22,1,1,false,false
0x90d3...16c4,1,1,false,false
0x9143...1c1a,2,1,false,false
0x914b...c420,2,1,false,false
0x91d6...54bf,2,1,false,false
0x921e...8e90,2,1,false,false
0x9291...c3e4,1,1,false,false
0x92de...710b,1,1,false,false
0x9408...52d0,2,1,false,false
0x948f...2811,1,1,false,false
0x94dc...4a96,2,1,false,false
0x9567...83b0,2,1,false,false
0x956e...5b74,1,1,false,false
0x9652...eb10,2,1,false,false
0x9680...e379,1,1,false,false
0x975d...2dbf,1,1,false,false
0x976d...7cf4,1,1,false,false
0x9796...59be,2,1,false,false
0x97cd...f050,2,1,false,false
0x9842...9e06,2,1,false,false
0x9902...d2d7,2,1,false,false
0x9a6a...f025,2,1,false,false
0x9bcb...70ec,2,1,false,false
0x9bcc...3cfe,2,1,false,false
0x9ca4...ccbf,1,1,false,false
0x9d3f...6fcd,2,1,false,false
0x9d8f...af32,2,1,false,false
0xa237...481d,2,1,false,false
0xa23a...d443,2,1,false,false
0xa241...da68,2,1,false,false
0xa2dc...697b,1,1,false,false
0xa3f8...eeb8,1,1,false,false
0xa45b...6b8d,2,1,false,false
0xa4a7...fec0,1,1,false,false
0xa5aa...3954,2,1,false,false
0xa5f0...bc8e,2,1,false,false
0xa64a...8893,1,1,false,false
0xa681...2cda,2,1,false,false
0xa70b...86dd,2,1,false,false
0xa7f6...d05c,2,1,false,false
0xa802...d79e,2,1,false,false
0xa8c6...cb40,2,1,false,false
0xabb3...488a,2,1,false,false
0xace1...f82d,2,1,false,false
0xad25...b733,1,1,false,false
0xadc0...0ab1,2,1,false,false
0xae01...687b,2,1,false,false
0xae36...f19b,1,1,false,false
0xaf79...32b0,2,1,false,false
0xafb2...ae95,2,1,false,false
0xb16a...318d,2,1,false,false
0xb1a0...234e,2,1,false,false
0xb1b6...7b76,2,1,false,false
0xb1ce...74e1,2,1,false,false
0xb264...5b98,2,1,false,false
0xb2c5...c6b2,1,1,false,false
0xb347...2dec,1,1,false,false
0xb3d8...71b1,2,1,false,false
0xb3d8...f64e,2,1,false,false
0xb598...038c,1,1,false,false
0xb5c6...23cc,2,1,false,false
0xb5ca...81c3,2,1,false,false
0xb623...7efb,2,1,false,false
0xb639...8fae,2,1,false,false
0xb6ba...b371,2,1,false,false
0xb738...3be6,2,1,false,false
0xb75a...0cf1,2,1,false,false
0xb7bb...c1bd,2,1,false,false
0xb894...fd5e,2,1,false,false
0xb91d...91b2,2,1,false,false
0xb9cc...1120,2,1,false,false
0xba42...a10c,2,1,false,false
0xba55...662d,2,1,false,false
0xbbbc...dc1d,2,1,false,false
0xbbed...4ee6,2,1,false,false
0xbc78...9599,2,1,false,false
0xbcae...8472,2,1,false,false
0xbdd6...dfe2,1,1,false,false
0xbf39...7413,1,1,false,false
0xbf59...2ad3,2,1,false,false
0xbf5c...1739,1,1,false,false
0xbfa3...36e3,2,1,false,false
0xc021...cde6,2,1,false,false
0xc022...41b1,2,1,false,false
0xc13e...9b17,2,1,false,false
0xc142...b587,2,1,false,false
0xc19f...27a7,2,1,false,false
0xc1c4...dc51,2,1,false,false
0xc2cb...6a78,1,1,false,false
0xc3c9...4fd5,2,1,false,false
0xc63f...9c95,2,1,false,false
0xc804...5a0a,1,1,false,false
0xc81a...bb2d,2,1,false,false
0xc8fd...c8e1,4,1,true,false
0xcc73...bb7e,2,1,false,false
0xcc85...b709,1,1,false,false
0xcd9d...76dc,2,1,false,false
0xcda9...12cf,2,1,false,false
0xcdbe...0d8e,2,1,false,false
0xcec8...148f,1,1,false,false
0xcf02...55c8,2,1,false,false
0xcf5e...dacf,2,1,false,false
0xcfb3...e55c,1,1,false,false
0xd045...9e44,3,1,true,false
0xd174...b06a,1,1,false,false
0xd193...174b,2,1,false,false
0xd286...15ab,2,1,false,false
0xd416...80f9,2,1,false,false
0xd41f...766a,1,1,false,false
0xd4d1...34c4,2,1,false,false
0xd53b...7a06,2,1,false,false
0xd657...ac80,2,1,false,false
0xd6eb...0e53,2,1,false,false
0xd7e0...32eb,2,1,false,false
0xd802...9753,2,1,false,false
0xd831...b64d,2,1,false,false
0xd86e...d867,2,1,false,false
0xda11...93d3,2,1,false,false
0xdbec...9086,2,1,false,false
0xdee5...1699,2,1,false,false
0xdfb5...c218,2,1,false,false
0xe056...3f0a,2,1,false,false
0xe105...ac6c,2,1,false,false
