ETH Address, Tier, Wave, Is Promoted, Is CoolOff
0x007c...f7bc,2,1,false,false
0x01b6...26ed,2,1,false,false
0x02c2...14ff,2,1,false,false
0x045e...e40f,1,1,false,false
0x04c1...a1aa,2,1,false,false
0x056a...28e0,2,1,false,false
0x05fc...ae42,2,1,false,false
0x0675...1ce7,1,1,false,false
0x0710...8e5a,1,1,false,false
0x0901...2aeb,1,1,false,false
0x090c...5f2c,3,1,true,false
0x0972...3913,2,1,false,false
0x09c1...7f71,2,1,false,false
0x0a16...68d5,2,1,false,false
0x0aa4...9580,2,1,false,false
0x0ae2...df34,2,1,false,false
0x0af2...df53,2,1,false,false
0x0b20...2bb6,1,1,false,false
0x0b26...870f,2,1,false,false
0x0b91...d15c,2,1,false,false
0x0c21...4fa5,2,1,false,false
0x0c4a...15ba,2,1,false,false
0x0d74...89ce,1,1,false,false
0x0dbd...e454,2,1,false,false
0x0f22...1319,2,1,false,false
0x1102...8caa,1,1,false,false
0x1151...315a,2,1,false,false
0x136d...9224,1,1,false,false
0x13d6...45ce,2,1,false,false
0x140d...2551,2,1,false,false
0x14d4...ca76,2,1,false,false
0x14e2...359c,1,1,false,false
0x1683...ed7a,1,1,false,false
0x16b5...a684,2,1,false,false
0x180f...2527,2,1,false,false
0x1846...4c19,2,1,false,false
0x185e...d2f0,1,1,false,false
0x1899...bd88,1,1,false,false
0x189f...e2c2,1,1,false,false
0x18ed...5316,2,1,false,false
0x1920...6546,2,1,false,false
0x197c...9ffa,2,1,false,false
0x197e...9c07,2,1,false,false
0x199c...eb1e,2,1,false,false
0x19c7...d063,2,1,false,false
0x1a67...10b1,2,1,false,false
0x1aa0...cabe,1,1,false,false
0x1b95...4358,2,1,false,false
0x1c03...da0e,2,1,false,false
0x1c3b...423a,1,1,false,false
0x1c4c...fb48,1,1,false,false
0x1c78...fbbc,1,1,false,false
0x1d36...b5e5,2,1,false,false
0x1d71...6578,2,1,false,false
0x1e81...8e26,2,1,false,false
0x1efa...9253,2,1,false,false
0x206d...d805,1,1,false,false
0x20cb...ed20,2,1,false,false
0x21d9...d21a,1,1,false,false
0x22a1...bfee,1,1,false,false
0x2348...35e1,2,1,false,false
0x239d...d963,1,1,false,false
0x23d3...5936,2,1,false,false
0x2521...1a80,2,1,false,false
0x25cc...f090,2,1,false,false
0x2609...6a99,1,1,false,false
0x2625...869f,2,1,false,false
0x26d1...6f19,2,1,false,false
0x2842...58f2,1,1,false,false
0x28ea...daef,2,1,false,false
0x2992...3513,1,1,false,false
0x2a51...92bb,1,1,false,false
0x2a9b...b53b,1,1,false,false
0x2bf4...3c6b,2,1,false,false
0x2eec...5ba6,2,1,false,false
0x2f18...754f,2,1,false,false
0x305b...641a,2,1,false,false
0x308f...d709,2,1,false,false
0x335f...2953,2,1,false,false
0x33d7...9ab7,2,1,false,false
0x33f6...833f,1,1,false,false
0x349b...2c09,1,1,false,false
0x34b7...d0bc,2,1,false,false
0x34bb...9cdc,2,1,false,false
0x3557...42cf,2,1,false,false
0x35e0...646b,1,1,false,false
0x3696...3484,1,1,false,false
0x3743...fc74,1,1,false,false
0x390a...9c26,2,1,false,false
0x39c9...1763,2,1,false,false
0x3a73...4ad7,2,1,false,false
0x3b7b...7245,2,1,false,false
0x3b97...05ef,2,1,false,false
0x3c73...7905,2,1,false,false
0x3c7e...9319,2,1,false,false
0x3d0d...c426,1,1,false,false
0x3e14...8584,2,1,false,false
0x3ed1...d451,2,1,false,false
0x3f90...33e8,2,1,false,false
0x40d2...8087,2,1,false,false
0x41c9...4ec2,1,1,false,false
0x4225...20da,2,1,false,false
0x43db...e302,1,1,false,false
0x43e7...57f2,2,1,false,false
0x446b...e1d0,2,1,false,false
0x453c...eea8,2,1,false,false
0x460a...f449,2,1,false,false
0x4614...b23a,2,1,false,false
0x4627...bba3,2,1,false,false
0x473d...5270,1,1,false,false
0x4753...fb44,2,1,false,false
0x4b9e...1116,2,1,false,false
0x4cec...941e,2,1,false,false
0x4d16...31a6,2,1,false,false
0x4d4e...9d46,2,1,false,false
0x4d9d...3e36,2,1,false,false
0x4e9d...74bc,1,1,false,false
0x4ece...36f9,2,1,false,false
0x4ede...05a4,2,1,false,false
0x4ee0...3d17,2,1,false,false
0x4f24...3c59,2,1,false,false
0x4f2e...4360,2,1,false,false
0x4fa8...0133,2,1,false,false
0x4fbc...90e1,2,1,false,false
0x4fbe...ed8e,1,1,false,false
0x4ffa...7a06,2,1,false,false
0x5138...78a7,1,1,false,false
0x514a...bedb,2,1,false,false
0x519b...b32e,2,1,false,false
0x52ee...26a5,2,1,false,false
0x535a...7a51,2,1,false,false
0x5394...42d8,2,1,false,false
0x563f...c799,1,1,false,false
0x56af...6efc,4,1,true,false
0x56e6...4dad,2,1,false,false
0x56ef...88e4,2,1,false,false
0x577c...2b77,2,1,false,false
0x5793...cf95,2,1,false,false
0x580c...b05b,2,1,false,false
0x5834...286a,2,1,false,false
0x5849...9de5,2,1,false,false
0x58ab...85b3,2,1,false,false
0x5a54...fd18,1,1,false,false
0x5c24...1d6b,2,1,false,false
0x5c82...6122,2,1,false,false
0x5c98...e3cb,2,1,false,false
0x5d1a...b6e3,2,1,false,false
0x5f20...ee43,2,1,false,false
0x5f25...e745,2,1,false,false
0x5f67...cc32,2,1,false,false
0x6022...8516,1,1,false,false
0x6036...8223,2,1,false,false
0x60e1...34b0,2,1,false,false
0x61e2...ebf1,2,1,false,false
0x61eb...4828,1,1,false,false
0x61f4...75d3,2,1,false,false
0x6229...c742,2,1,false,false
0x64b0...9f0d,2,1,false,false
0x6625...dfab,2,1,false,false
0x6641...e72e,2,1,false,false
0x679d...ebfe,2,1,false,false
0x6829...27ca,1,1,false,false
0x6997...64fd,2,1,false,false
0x6b24...2c4e,2,1,false,false
0x6bc1...a281,1,1,false,false
0x6cc7...50f3,1,1,false,false
0x6e19...e51d,2,1,false,false
0x6ecf...c043,2,1,false,false
0x6f03...ce37,2,1,false,false
0x705a...635d,2,1,false,false
0x7082...4452,1,1,false,false
0x70d6...ce77,2,1,false,false
0x712c...fc55,1,1,false,false
0x7176...0acd,2,1,false,false
0x71e7...8271,2,1,false,false
0x7243...a9b5,2,1,false,false
0x724a...186e,1,1,false,false
0x73e6...f6d4,2,1,false,false
0x74aa...5f73,1,1,false,false
0x74c6...0785,2,1,false,false
0x74f8...48da,1,1,false,false
0x75c2...85c5,2,1,false,false
0x760e...e8fe,2,1,false,false
0x76c4...265d,1,1,false,false
0x76c8...d182,2,1,false,false
0x7775...f052,2,1,false,false
0x77a6...8baf,1,1,false,false
0x7820...a730,2,1,false,false
0x782d...3ede,1,1,false,false
0x7841...8dbc,2,1,false,false
0x799d...f5bc,2,1,false,false
0x7a28...9e34,2,1,false,false
0x7af7...38ca,2,1,false,false
0x7cfa...1551,2,1,false,false
0x7d96...e3b7,2,1,false,false
0x7e8c...40c0,2,1,false,false
0x7f8f...7cb0,1,1,false,false
0x7fe8...5246,2,1,false,false
0x80e1...2b6e,1,1,false,false
0x81c8...8a2d,2,1,false,false
0x81e3...4f5f,2,1,false,false
0x82b7...369e,2,1,false,false
0x82cf...41f8,2,1,false,false
0x835a...15bb,2,1,false,false
0x858e...7db4,1,1,false,false
0x85cc...82dd,2,1,false,false
0x864c...7766,2,1,false,false
0x8664...0ce7,1,1,false,false
0x873a...fc90,2,1,false,false
0x8883...7d25,2,1,false,false
0x8a78...7eac,2,1,false,false
0x8aa3...8142,2,1,false,false
0x8bfb...2558,2,1,false,false
0x8ccd...0db0,1,1,false,false
0x8ceb...f1ee,3,1,true,false
0x8cfe...dd3d,2,1,false,false
0x8d23...b0a7,1,1,false,false
0x8e73...dce3,1,1,false,false
0x8eec...0e16,2,1,false,false
0x8f1c...74cb,2,1,false,false
0x8f23...3e2f,2,1,false,false
0x90bf...1e22,1,1,false,false
0x9143...1c1a,2,1,false,false
0x914b...c420,2,1,false,false
0x921e...8e90,2,1,false,false
0x948f...2811,1,1,false,false
0x956e...5b74,1,1,false,false
0x9652...eb10,2,1,false,false
0x96c3...3403,2,1,false,false
0x976d...7cf4,1,1,false,false
0x97cd...f050,2,1,false,false
0x980b...53a2,2,1,false,false
0x9842...9e06,1,1,false,false
0x9878...d0e3,2,1,false,false
0x9885...4289,1,1,false,false
0x98bc...ec7f,1,1,false,false
0x9902...d2d7,2,1,false,false
0x9a6a...f025,2,1,false,false
0x9c29...1bcb,2,1,false,false
0x9c3f...1fab,1,1,false,false
0x9ca4...ccbf,1,1,false,false
0x9de4...0116,2,1,false,false
0x9e12...8bc7,2,1,false,false
0x9f1e...fabe,1,1,false,false
0xa0ac...013d,2,1,false,false
0xa198...c58a,2,1,false,false
0xa1e8...552b,2,1,false,false
0xa237...481d,2,1,false,false
0xa241...da68,2,1,false,false
0xa2dc...697b,1,1,false,false
0xa415...0fcd,2,1,false,false
0xa50e...9273,1,1,false,false
0xa5aa...3954,2,1,false,false
0xa5f0...bc8e,2,1,false,false
0xa6e0...6b63,2,1,false,false
0xa70b...86dd,2,1,false,false
0xa7f6...d05c,2,1,false,false
0xa8c6...cb40,2,1,false,false
0xa9a4...e2d6,2,1,false,false
0xac96...f99b,2,1,false,false
0xace1...f82d,2,1,false,false
0xad25...b733,1,1,false,false
0xad9d...1fb3,2,1,false,false
0xae01...687b,2,1,false,false
0xaf79...32b0,1,1,false,false
0xafb2...ae95,2,1,false,false
0xb026...36b6,2,1,false,false
0xb02d...67c1,2,1,false,false
0xb117...1432,1,1,false,false
0xb16a...318d,2,1,false,false
0xb1b6...7b76,2,1,false,false
0xb1ce...74e1,2,1,false,false
0xb264...5b98,1,1,false,false
0xb33b...e7f1,1,1,false,false
0xb347...2dec,1,1,false,false
0xb47e...66ac,2,1,false,false
0xb53d...f7b6,1,1,false,false
0xb598...038c,1,1,false,false
0xb5c6...23cc,2,1,false,false
0xb5ca...81c3,2,1,false,false
0xb6e1...14c9,1,1,false,false
0xb738...3be6,1,1,false,false
0xb7bb...c1bd,2,1,false,false
0xb82f...a4cf,2,1,false,false
0xb91d...91b2,2,1,false,false
0xb9ce...f2ea,1,1,false,false
0xba17...186f,2,1,false,false
0xba42...a10c,2,1,false,false
0xba88...4c57,2,1,false,false
0xbaf7...c406,2,1,false,false
0xbc3f...475b,2,1,false,false
0xbcfd...a7ff,2,1,false,false
0xbd78...afaa,2,1,false,false
0xbe75...c376,2,1,false,false
0xbeaf...1313,2,1,false,false
0xbeee...a3d0,1,1,false,false
0xbf39...7413,1,1,false,false
0xbf5c...c282,2,1,false,false
0xbfa3...36e3,2,1,false,false
0xbfad...ad6c,2,1,false,false
0xc021...cde6,2,1,false,false
0xc19f...27a7,2,1,false,false
0xc1c4...dc51,2,1,false,false
0xc21c...7447,2,1,false,false
0xc287...08ed,2,1,false,false
0xc2cb...6a78,1,1,false,false
0xc4f5...d074,2,1,false,false
0xc63f...9c95,2,1,false,false
0xc697...5e0e,2,1,false,false
0xc876...10b7,2,1,false,false
0xcad2...7d9b,1,1,false,false
0xcad3...700b,2,1,false,false
0xcae3...4b49,1,1,false,false
0xcd10...bd42,2,1,false,false
0xce7a...7f3f,2,1,false,false
0xcee7...35b3,2,1,false,false
0xcf5e...dacf,1,1,false,false
0xcfbe...cf5c,2,1,false,false
0xd122...067a,2,1,false,false
0xd193...174b,2,1,false,false
0xd19b...2aa2,2,1,false,false
0xd41f...766a,1,1,false,false
0xd4d1...34c4,2,1,false,false
0xd5bf...8e42,2,1,false,false
0xd888...f303,1,1,false,false
0xd8db...d184,2,1,false,false
0xdaf7...c28e,2,1,false,false
0xddb5...d63c,1,1,false,false
0xde09...4cbb,1,1,false,false
0xdf0d...7bfe,2,1,false,false
0xdf3f...0404,2,1,false,false
0xdfb5...c218,2,1,false,false
0xe143...5b13,2,1,false,false
0xe1c4...f31c,1,1,false,false
0xe374...f0c0,2,1,false,false
0xe39b...33a4,2,1,false,false
0xe47a...5211,2,1,false,false
0xe5cc...5d2e,2,1,false,false
0xe702...09e2,2,1,false,false
0xe71c...b16a,2,1,false,false
