ETH Address, Tier, Wave, Is Promoted
0x007c...f7bc,1,1,false
0x0324...5df3,2,1,false
0x0367...6e84,2,1,false
0x039e...37d9,1,1,false
0x0826...177e,2,1,false
0x0862...de9c,2,1,false
0x09a8...62c5,2,1,false
0x09e0...9f43,2,1,false
0x0c09...a31d,2,1,false
0x0c7b...9b00,1,1,false
0x0f22...1319,2,1,false
0x1092...bb6a,2,1,false
0x112c...b22d,2,1,false
0x1552...eb2c,2,1,false
0x1716...1bbe,1,1,false
0x189f...e2c2,2,1,false
0x1a7f...03df,1,1,false
0x1b95...4358,2,1,false
0x1c78...fbbc,2,1,false
0x22a1...bfee,2,1,false
0x253e...e5a1,2,1,false
0x2669...1f14,2,1,false
0x2693...61d3,1,1,false
0x278d...589b,1,1,false
0x2954...36c9,2,1,false
0x2a9b...b53b,2,1,false
0x2d59...2d3f,2,1,false
0x2ea8...0297,2,1,false
0x2efe...101a,5,1,true
0x32e3...a02a,1,1,false
0x32eb...7245,2,1,false
0x335f...2953,2,1,false
0x33f6...833f,1,1,false
0x3743...fc74,2,1,false
0x3a87...b2ab,2,1,false
0x3b97...05ef,2,1,false
0x3c73...7905,2,1,false
0x3d0d...c426,2,1,false
0x3d55...8d2f,2,1,false
0x3df0...46d1,2,1,false
0x3e1c...1f43,2,1,false
0x40c6...cef9,2,1,false
0x40d2...8087,2,1,false
0x421f...5fe1,2,1,false
0x423b...a194,2,1,false
0x4309...ae8b,2,1,false
0x432d...ec0c,2,1,false
0x43db...e302,2,1,false
0x44fa...8f50,2,1,false
0x4532...b992,2,1,false
0x4567...b605,2,1,false
0x460a...f449,2,1,false
0x4c7c...67cc,2,1,false
0x4c96...5da4,2,1,false
0x4d9d...3e36,2,1,false
0x4e2f...1721,2,1,false
0x4ece...36f9,2,1,false
0x50ab...b943,2,1,false
0x5162...69b6,2,1,false
0x52ee...26a5,2,1,false
0x54e0...e12a,2,1,false
0x577c...2b77,2,1,false
0x58ec...a015,2,1,false
0x5a54...fd18,2,1,false
0x5d66...5c82,2,1,false
0x5e9c...b10c,2,1,false
0x5fb8...e0fa,2,1,false
0x6046...7e57,4,1,true
0x61eb...4828,2,1,false
0x61eb...c710,2,1,false
0x6413...f1b5,2,1,false
0x65d4...42de,1,1,false
0x6651...d384,1,1,false
0x66d8...2494,2,1,false
0x6895...e65f,2,1,false
0x6a96...a288,2,1,false
0x6b92...1e47,2,1,false
0x6eb4...03e4,2,1,false
0x6f30...9242,2,1,false
0x7243...a9b5,2,1,false
0x73db...209a,1,1,false
0x74c6...0785,2,1,false
0x7543...d011,2,1,false
0x75b1...0aae,1,1,false
0x7709...832d,2,1,false
0x77ad...18ac,5,1,true
0x79e4...695c,1,1,false
0x7d9a...ec8e,2,1,false
0x80e1...2b6e,2,1,false
0x8321...cd50,2,1,false
0x857d...9a9e,2,1,false
0x85cc...8e09,2,1,false
0x864c...7766,2,1,false
0x8b60...70a3,2,1,false
0x8ccd...0db0,2,1,false
0x8f1c...74cb,2,1,false
0x8f39...2870,2,1,false
0x90d3...16c4,2,1,false
0x9143...1c1a,2,1,false
0x91d6...54bf,2,1,false
0x921e...8e90,2,1,false
0x92de...710b,1,1,false
0x948f...2811,1,1,false
0x956e...5b74,1,1,false
0x9605...651d,2,1,false
0x9680...e379,1,1,false
0x9796...59be,2,1,false
0x97cd...f050,2,1,false
0x9953...b317,2,1,false
0x9ca4...ccbf,2,1,false
0xa1e8...552b,2,1,false
0xa237...481d,2,1,false
0xa2dc...697b,2,1,false
0xa47d...3540,2,1,false
0xa4a7...fec0,2,1,false
0xa5aa...3954,2,1,false
0xa829...ebbc,2,1,false
0xa8c6...cb40,2,1,false
0xabb3...488a,2,1,false
0xad25...b733,1,1,false
0xadc0...0ab1,2,1,false
0xae01...687b,2,1,false
0xae36...f19b,2,1,false
0xae91...b57c,2,1,false
0xaf79...32b0,2,1,false
0xb00c...8081,2,1,false
0xb16a...318d,2,1,false
0xb1a9...c80f,2,1,false
0xb2c5...c6b2,1,1,false
0xb30f...cb8d,5,1,true
0xb347...2dec,1,1,false
0xb3d8...f64e,2,1,false
0xb5c6...23cc,2,1,false
0xb6ba...b371,2,1,false
0xb7e9...ffe0,2,1,false
0xb8c5...91d9,2,1,false
0xb91d...91b2,2,1,false
0xbbe5...7092,1,1,false
0xbdd6...dfe2,2,1,false
0xbe8f...c99f,2,1,false
0xbf39...7413,1,1,false
0xbf5c...1739,1,1,false
0xc021...cde6,2,1,false
0xc034...dce6,2,1,false
0xc11b...a54f,2,1,false
0xc13e...9b17,2,1,false
0xc19f...27a7,2,1,false
0xc37e...2ca7,5,1,true
